url	pmid	exclude	study	first_author	strain	year	species	cohort	roa	roa_details	n	n_endpoint	n_intercurrent	endpoint	mean_mpi	sd_mpi	range_mpi	animal_comments	cohort_id	year5bin	n_censored	endpointx	roa_group	strain_group	row	dup_status
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	5	ic		1	1	0	terminal prion disease	28		n/a	IC titration: 10^-2	11259641-5	2000	0	3	ic	BSE/vCJD	11	unique
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	6	ic		1	1	0	terminal prion disease	33		n/a	IC titration: 10^-3	11259641-6	2000	0	3	ic	BSE/vCJD	12	unique
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	7	ic		2	1	0	terminal prion disease	38		n/a	IC titration: 10^-5; n=1 had a 48month inoculation time with slight behavioral changes	11259641-7	2000	1	3	ic	BSE/vCJD	13	unique
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	8	iv		1	1	0	terminal prion disease	25		n/a		11259641-8	2000	0	3	iv	BSE/vCJD	14	unique
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	BSE → Cynomolgus macaque	2001	Cynomolgus macaque (Macaca fascicularis)	8	iv		1	1	0	symptom onset	21		n/a	10% BH	11259641-8	2000	0	2	iv	BSE/vCJD	15	duplicate
https://pubmed.ncbi.nlm.nih.gov/11259641/	11259641	include	Adaptation of the bovine spongiform encephalopathy agent to primates and comparison with Creutzfeldt-- Jakob disease: implications for human health.	Lasmézas, C.	vCJD	2001	Cynomolgus macaque (Macaca fascicularis)	9	ic		2	2	0	terminal prion disease	27.5	3.5	25-30	10% BH	11259641-9	2000	0	3	ic	BSE/vCJD	16	unique
https://pubmed.ncbi.nlm.nih.gov/11862624	11862624	include	BSE infection of the small short-lived primate Microcebus murinus	Bons N	BSE	2002	Gray mouse lemur (Microcebus murinus)	1	oral		4	1	1	symptom onset	13		n/a	0.5g dose of brain homogenate BSE-infected cow	11862624-1	2000	2	2	oral	BSE/vCJD	17	unique
https://pubmed.ncbi.nlm.nih.gov/11862624	11862624	include	BSE infection of the small short-lived primate Microcebus murinus	Bons N	BSE→ Cynomolgus macaque	2002	Gray mouse lemur (Microcebus murinus)	2	oral		3	0	0	symptom onset			n/a	0.5g dose of brain homogenate BSE-infected cynomolgus macaque	11862624-2	2000	3	2	oral	BSE/vCJD	18	unique
https://pubmed.ncbi.nlm.nih.gov/11862624	11862624	include	BSE infection of the small short-lived primate Microcebus murinus	Bons N	BSE	2002	Gray mouse lemur (Microcebus murinus)	3	multiple	ic/intraperitoneal	1	0	1	symptom onset			n/a	25uL of 10% brain homogenate of BSE-infected cow	11862624-3	2000	0	2	multiple	BSE/vCJD	19	unique
https://pubmed.ncbi.nlm.nih.gov/11862624	11862624	include	BSE infection of the small short-lived primate Microcebus murinus	Bons N	BSE→ Cynomolgus macaque	2002	Gray mouse lemur (Microcebus murinus)	4	multiple	ic/intraperitoneal	1	1	0	symptom onset	17.5		n/a	25uL of 10% brain homogenate of BSE-infected cynomolgus macaque	11862624-4	2000	0	2	multiple	BSE/vCJD	20	unique
https://pubmed.ncbi.nlm.nih.gov/11862624	11862624	include	BSE infection of the small short-lived primate Microcebus murinus	Bons N	BSE→ Cynomolgus macaque	2002	Gray mouse lemur (Microcebus murinus)	5	ic		2	2	0	symptom onset	12	5.7	44,789.00	25uL of 10% brain homogenate of BSE-infected cynomolgus macaque	11862624-5	2000	0	2	ic	BSE/vCJD	21	unique
https://pubmed.ncbi.nlm.nih.gov/12084158	12084158	include	Brain and buffy coat transmission of bovine spongiform encephalopathy to the primate Microcebus murinus	Bons N	BSE→ Cynomolgus macaque	2002	Gray mouse lemur (Microcebus murinus)	1	mutliple	ic/intraperitoneal	1	1	0	symptom onset	17		n/a	pooled brain homogenate drom BSE-infected cattle then inoculated via ic into a cynomolgus monkey and then passaged ic to a microcebe 	12084158-1	2000	0	2	mutliple	BSE/vCJD	22	unique
https://pubmed.ncbi.nlm.nih.gov/12084158	12084158	include	Brain and buffy coat transmission of bovine spongiform encephalopathy to the primate Microcebus murinus	Bons N	BSE → Cynomolgus macaque → Gray mouse lemur	2002	Gray mouse lemur (Microcebus murinus)	2	ic		2	1	0	terminal prion disease	18.8		n/a		12084158-2	2000	1	3	ic	BSE/vCJD	23	unique
https://pubmed.ncbi.nlm.nih.gov/12084158	12084158	include	Brain and buffy coat transmission of bovine spongiform encephalopathy to the primate Microcebus murinus	Bons N	BSE → Cynomolgus macaque → Gray mouse lemur	2002	Gray mouse lemur (Microcebus murinus)	2	ic		2	2	0	symptom onset	17	1.4	16-18	BSE → Cynomolgus macaque → Gray mouse lemur (brain homogenate from the donor mouse lemur); *note: the text and table 1 contradict each other regarding the inoculation route	12084158-2	2000	0	2	ic	BSE/vCJD	24	duplicate
https://pubmed.ncbi.nlm.nih.gov/12084158	12084158	include	Brain and buffy coat transmission of bovine spongiform encephalopathy to the primate Microcebus murinus	Bons N	BSE → Cynomolgus macaque → Gray mouse lemur	2002	Gray mouse lemur (Microcebus murinus)	3	ic		1	1	0	symptom onset	17.5		n/a	BSE → Cynomolgus macaque → Gray mouse lemur (buffy coat from the donor mouse lemur)	12084158-3	2000	0	2	ic	BSE/vCJD	25	unique
https://pubmed.ncbi.nlm.nih.gov/124873/	124873	include	Transmission of Creutzfeldt-Jakob Disease to the Stumptail Macaque (Macaca Arctoides)	Espana, C.	sCJD	1975	Stumptail macaque (Macaca arctoides)	1	ic		1	1	0	terminal prion disease	72		n/a		124873-1	1975	0	3	ic	CJD	26	unique
https://pubmed.ncbi.nlm.nih.gov/124873/	124873	include	Transmission of Creutzfeldt-Jakob Disease to the Stumptail Macaque (Macaca Arctoides)	Espana, C.	sCJD	1975	Stumptail macaque (Macaca arctoides)	1	ic		1	1	0	symptom onset	60		n/a	C-J disease patient (A.T.) - human	124873-1	1975	0	2	ic	CJD	27	duplicate
https://pubmed.ncbi.nlm.nih.gov/124873/	124873	include	Transmission of Creutzfeldt-Jakob Disease to the Stumptail Macaque (Macaca Arctoides)	Espana, C.	sCJD → Chimpanzee	1975	Stumptail macaque (Macaca arctoides)	2	ic		1	1	0	terminal prion disease	67		n/a		124873-2	1975	0	3	ic	CJD	28	unique
https://pubmed.ncbi.nlm.nih.gov/124873/	124873	include	Transmission of Creutzfeldt-Jakob Disease to the Stumptail Macaque (Macaca Arctoides)	Espana, C.	sCJD → Chimpanzee	1975	Stumptail macaque (Macaca arctoides)	2	ic		1	1	0	symptom onset	60		n/a		124873-2	1975	0	2	ic	CJD	29	duplicate
https://pubmed.ncbi.nlm.nih.gov/12627447	12627447	exclude	Failure of immunocompetitive capillary electrophoresis assay to detect disease-specific prion protein in buffy coat from humans and chimpanzees with Creutzfeldt-Jakob disease	Cervenakova L	fCJD	2003	Chimpanzee (Pan troglodytes)	1	unknown		2	2	0	terminal prion disease	24		n/a		12627447-1	2000	0	3	unknown	CJD	30	duplicate
https://pubmed.ncbi.nlm.nih.gov/12627447	12627447	exclude	Failure of immunocompetitive capillary electrophoresis assay to detect disease-specific prion protein in buffy coat from humans and chimpanzees with Creutzfeldt-Jakob disease	Cervenakova L	fCJD	2003	Chimpanzee (Pan troglodytes)	1	unknown		2	2	0	symptom onset	20		n/a		12627447-1	2000	0	2	unknown	CJD	31	duplicate
https://pubmed.ncbi.nlm.nih.gov/12627447	12627447	exclude	Failure of immunocompetitive capillary electrophoresis assay to detect disease-specific prion protein in buffy coat from humans and chimpanzees with Creutzfeldt-Jakob disease	Cervenakova L	sCJD	2003	Chimpanzee (Pan troglodytes)	2	unknown		4	4	0	terminal prion disease	24		n/a		12627447-2	2000	0	3	unknown	CJD	32	duplicate
https://pubmed.ncbi.nlm.nih.gov/12627447	12627447	exclude	Failure of immunocompetitive capillary electrophoresis assay to detect disease-specific prion protein in buffy coat from humans and chimpanzees with Creutzfeldt-Jakob disease	Cervenakova L	sCJD	2003	Chimpanzee (Pan troglodytes)	2	unknown		4	4	0	symptom onset	20		n/a		12627447-2	2000	0	2	unknown	CJD	33	duplicate
https://pubmed.ncbi.nlm.nih.gov/14212421/	14212421	include	Attempts to demonstrate a transmissible agent in Kuru, Amyotrophic Lateral Sclerosis, and other sub-acute and chronic nervous system degenerations of man	Gajdusek, D.	Kuru	1964	Rhesus macaque (Macaca mulatta)	1	multiple	ic/iv	1	1	0	histology			n/a	inoculated ic/iv	14212421-1	1965	0	1	multiple	Kuru	34	unique
https://pubmed.ncbi.nlm.nih.gov/14212421/	14212421	exclude	Attempts to demonstrate a transmissible agent in Kuru, Amyotrophic Lateral Sclerosis, and other sub-acute and chronic nervous system degenerations of man	Gajdusek, D.	Kuru	1964	Rhesus macaque (Macaca mulatta)	2	multiple	ic/iv	32	0	0	symptom onset			n/a	inoculated ic/iv	14212421-2	1965	32	2	multiple	Kuru	35	duplicate
https://pubmed.ncbi.nlm.nih.gov/14212421/	14212421	exclude	Attempts to demonstrate a transmissible agent in Kuru, Amyotrophic Lateral Sclerosis, and other sub-acute and chronic nervous system degenerations of man	Gajdusek, D.	Kuru	1964	Chimpanzee (Pan troglodytes)	3	unspecified		6	0	0	symptom onset			n/a	Using the info (in Beck 1966, Gajdusek 1966, Gajdusek 1972), in Table 1, in Gajdusek 1964, each date of inoculation listed under primates represents more than a single primate for some Kuru samples	14212421-3	1965	6	2	other	Kuru	36	duplicate
https://pubmed.ncbi.nlm.nih.gov/14212421/	14212421	exclude	Attempts to demonstrate a transmissible agent in Kuru, Amyotrophic Lateral Sclerosis, and other sub-acute and chronic nervous system degenerations of man	Gajdusek, D.	Kuru	1964	Cynomolgus macaque (Macaca fascicularis)	4	multiple	ic/iv	25	0	0	symptom onset			n/a	inoculated ic/iv	14212421-4	1965	25	2	multiple	Kuru	37	duplicate
https://pubmed.ncbi.nlm.nih.gov/14212421/	14212421	exclude	Attempts to demonstrate a transmissible agent in Kuru, Amyotrophic Lateral Sclerosis, and other sub-acute and chronic nervous system degenerations of man	Gajdusek, D.	Kuru	1964	African green (Chlorocebus aethiops)	5	multiple	ic/iv	10	0	0	symptom onset			n/a	inoculated ic/iv	14212421-5	1965	10	2	multiple	Kuru	38	duplicate
https://pubmed.ncbi.nlm.nih.gov/14962521/	14962521	include	Tissue distribution of bovine spongiform encephalopathy agent in primates after intravenous or oral infection.	Herzog, C.	BSE → Cynomolgus macaque	2004	Cynomolgus macaque (Macaca fascicularis)	1	iv		3	3	0	terminal prion disease	32	6.56	25-38		14962521-1	2000	0	3	iv	BSE/vCJD	39	unique
https://pubmed.ncbi.nlm.nih.gov/14962521/	14962521	include	Tissue distribution of bovine spongiform encephalopathy agent in primates after intravenous or oral infection.	Herzog, C.	BSE → Cynomolgus macaque	2004	Cynomolgus macaque (Macaca fascicularis)	2	oral		2	2	0	terminal prion disease	49	2.8	47-51		14962521-2	2000	0	3	oral	BSE/vCJD	40	unique
https://pubmed.ncbi.nlm.nih.gov/15733719/	15733719	include	Risk of oral infection with bovine spongiform encephalopathy agent in primates	Lasmézas, C.	BSE	2005	Cynomolgus macaque (Macaca fascicularis)	1	oral		2	1	0	terminal prion disease	63		n/a		15733719-1	2005	1	3	oral	BSE/vCJD	41	unique
https://pubmed.ncbi.nlm.nih.gov/15733719/	15733719	include	Risk of oral infection with bovine spongiform encephalopathy agent in primates	Lasmézas, C.	BSE	2005	Cynomolgus macaque (Macaca fascicularis)	1	oral		2	1	0	symptom onset	60		n/a	5g BSE	15733719-1	2005	1	2	oral	BSE/vCJD	42	duplicate
https://pubmed.ncbi.nlm.nih.gov/16227298/	16227298	include	Interspecies Transmission of Chronic Wasting Disease Prions to Squirrel Monkeys (Saimiri Sciureus)	Marsh, R.	CWD	2005	Squirrel monkey (Saimiri sciureus)	1	ic		2	2	0	symptom onset	32.5	2.1	31-34		16227298-1	2005	0	2	ic	CWD	43	unique
https://pubmed.ncbi.nlm.nih.gov/16254368/	16254368	include	PrPTSE Distribution in a Primate Model of Variant, Sporadic, and Iatrogenic Creutzfeldt-Jakob Disease	Herzog, C.	iCJD	2005	Cynomolgus macaque (Macaca fascicularis)	1	multiple	ic/intratonsilar	1	1	0	terminal prion disease	56		n/a	combination of intratonsillar and intracerebral inoculation	16254368-1	2005	0	3	multiple	CJD	44	unique
https://pubmed.ncbi.nlm.nih.gov/16254368/	16254368	include	PrPTSE Distribution in a Primate Model of Variant, Sporadic, and Iatrogenic Creutzfeldt-Jakob Disease	Herzog, C.	sCJD	2005	Cynomolgus macaque (Macaca fascicularis)	2	multiple	ic/intratonsilar	1	1	0	terminal prion disease	56		n/a	combination of intratonsillar and intracerebral inoculation	16254368-2	2005	0	3	multiple	CJD	45	unique
https://pubmed.ncbi.nlm.nih.gov/16254368/	16254368	exclude	PrPTSE Distribution in a Primate Model of Variant, Sporadic, and Iatrogenic Creutzfeldt-Jakob Disease	Herzog, C.	vCJD	2005	Cynomolgus macaque (Macaca fascicularis)	3	multiple	ic/intratonsilar	4	4	0	terminal prion disease	31	4.97	25-37	cohort previously include in Comoy 2017; combination of intratonsillar and intracerebral inoculation; animals C1, C2, C3, D1	16254368-3	2005	0	3	multiple	BSE/vCJD	46	duplicate
https://pubmed.ncbi.nlm.nih.gov/16254368/	16254368	exclude	PrPTSE Distribution in a Primate Model of Variant, Sporadic, and Iatrogenic Creutzfeldt-Jakob Disease	Herzog, C.	vCJD	2005	Cynomolgus macaque (Macaca fascicularis)	4	other	intratonsilar	1	1	0	terminal prion disease	44		n/a	cohort previously include in Comoy 2017; intratonsillar; animal C4	16254368-4	2005	0	3	other	BSE/vCJD	47	duplicate
https://pubmed.ncbi.nlm.nih.gov/16254368/	16254368	exclude	PrPTSE Distribution in a Primate Model of Variant, Sporadic, and Iatrogenic Creutzfeldt-Jakob Disease	Herzog, C.	BSE	2005	Cynomolgus macaque (Macaca fascicularis)	5	oral		1	1	0	terminal prion disease	63		n/a	cohort previously include in Comoy 2017; animal D14	16254368-5	2005	0	3	oral	BSE/vCJD	48	duplicate
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Squirrel monkey (Saimiri sciureus)	1	ic		1	1	0	terminal prion disease	43.75		n/a		1683708-1	1990	0	3	ic	CJD	49	unique
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Squirrel monkey (Saimiri sciureus)	1	ic		1	1	0	symptom onset	43		n/a	brain homogenate from the proband of the Kel family	1683708-1	1990	0	2	ic	CJD	50	duplicate
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Spider monkey (Ateles geoffroyi)	2	ic		1	1	0	terminal prion disease	33		n/a		1683708-2	1990	0	3	ic	CJD	51	unique
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Spider monkey (Ateles geoffroyi)	2	ic		1	1	0	symptom onset	31		n/a	brain homogenate from the proband of the Kel family	1683708-2	1990	0	2	ic	CJD	52	duplicate
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Chimpanzee (Pan troglodytes)	3	ic		1	1	0	terminal prion disease	14		n/a		1683708-3	1990	0	3	ic	CJD	53	unique
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Chimpanzee (Pan troglodytes)	3	ic		1	1	0	symptom onset	13		n/a	brain homogenate from the proband of the Ald family	1683708-3	1990	0	2	ic	CJD	54	duplicate
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Capuchin monkey (Cebus sp.)	4	ic		1	1	0	terminal prion disease	38		n/a		1683708-4	1990	0	3	ic	CJD	55	unique
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Capuchin monkey (Cebus sp.)	4	ic		1	1	0	symptom onset	35		n/a	brain homogenate from the proband of the Ald family	1683708-4	1990	0	2	ic	CJD	56	duplicate
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Squirrel monkey (Saimiri sciureus)	5	ic		1	1	0	terminal prion disease	26		n/a		1683708-5	1990	0	3	ic	CJD	57	unique
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Squirrel monkey (Saimiri sciureus)	5	ic		1	1	0	symptom onset	24		n/a	brain homogenate from the proband of the Ald family	1683708-5	1990	0	2	ic	CJD	58	duplicate
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Chimpanzee (Pan troglodytes)	6	ic		1	1	0	terminal prion disease	17		n/a		1683708-6	1990	0	3	ic	CJD	59	unique
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Chimpanzee (Pan troglodytes)	6	ic		1	1	0	symptom onset	13		n/a	brain homogenate from the proband of the Che family	1683708-6	1990	0	2	ic	CJD	60	duplicate
https://pubmed.ncbi.nlm.nih.gov/1683708	1683708	include	Transmissible familial Creutzfeldt-Jakob disease associated with five, seven, and eight extra octapeptide coding repeats in the PRNP gene	Goldfarb LG	gCJD	1991	Stump-tailed macaque (Macaca arctoides)	7	ic		1	0	1	symptom onset			n/a	brain homogenate from the proband of the Che family	1683708-7	1990	0	2	ic	CJD	61	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Squirrel monkey (Saimiri sciureus)	1	ic		1	1	0	symptom onset	19		n/a	inoculum used from patient M. Wu. (codon 178^Asn)	1684754-1	1990	0	2	ic	CJD	62	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Spider monkey (Ateles geoffroyi)	10	ic		1	0	1	symptom onset			n/a	inoculum used from patient H. Tu. (codon 178^Asn)	1684754-10	1990	0	2	ic	CJD	63	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Capuchin monkey (Cebus sp.)	11	ic		3	0	2	symptom onset			n/a	inoculum used from patient H. Tu. (codon 178^Asn)	1684754-11	1990	1	2	ic	CJD	64	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Squirrel monkey (Saimiri sciureus)	12	ic		2	2	0	symptom onset	21	4.2	18-24	inoculum used from patient S. Tu. (codon 178^Asn)	1684754-12	1990	0	2	ic	CJD	65	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Squirrel monkey (Saimiri sciureus)	13	ic		2	2	0	symptom onset	20.5	0.7	20-21	inoculum used from patient H. Da. (codon 178^Asn)	1684754-13	1990	0	2	ic	CJD	66	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Cynomolgus macaque (Macaca fascicularis)	14	ic		1	0	1	symptom onset			n/a	inoculum used from patient H. Da. (codon 178^Asn)	1684754-14	1990	0	2	ic	CJD	67	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	African green (Chlorocebus aethiops)	15	ic		1	0	0	symptom onset			n/a	inoculum used from patient H. Da. (codon 178^Asn)	1684754-15	1990	1	2	ic	CJD	68	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Rhesus macaque (Macaca mulatta)	16	ic		1	0	0	symptom onset			n/a	inoculum used from patient H. Da. (codon 178^Asn)	1684754-16	1990	1	2	ic	CJD	69	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Squirrel monkey (Saimiri sciureus)	17	ic		1	1	0	symptom onset	17.5		n/a	inoculum used from patient J. Kui. (codon 178^Asn)	1684754-17	1990	0	2	ic	CJD	70	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Capuchin monkey (Cebus sp.)	18	ic		1	0	0	symptom onset			n/a	inoculum used from patient J. Kui. (codon 178^Asn)	1684754-18	1990	1	2	ic	CJD	71	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Squirrel monkey (Saimiri sciureus)	19	ic		1	1	0	symptom onset	21		n/a	inoculum used from patient J. Kur. (codon 200^Lys)	1684754-19	1990	0	2	ic	CJD	72	unique
https://pubmed.ncbi.nlm.nih.gov/1684754	1684754	include	The phenotypic expression of different mutations in transmissible familial Creutzfeldt-Jakob disease	Brown P	gCJD	1991	Capuchin monkey (Cebus sp.)	2	ic		1	0	0	symptom onset			n/a	inoculum used from patient M. Wu. (codon 178^Asn)	1684754-2	1990	1	2	ic	CJD	73	unique
